Município,Ano,RISP,RMBH,Número de Vítimas
ANGELANDIA,2020,14º Departamento - Curvelo,3) Interior de MG,55
ANGELANDIA,2021,14º Departamento - Curvelo,3) Interior de MG,31
ANTONIO CARLOS,2014,13º RISP - Barbacena,3) Interior de MG,77
ANTONIO CARLOS,2015,13º RISP - Barbacena,3) Interior de MG,78
ANTONIO CARLOS,2016,13º RISP - Barbacena,3) Interior de MG,94
ANTONIO CARLOS,2017,13º RISP - Barbacena,3) Interior de MG,109
ANTONIO CARLOS,2018,13º RISP - Barbacena,3) Interior de MG,105
ANTONIO CARLOS,2019,13º RISP - Barbacena,3) Interior de MG,101
ANTONIO CARLOS,2020,13º Departamento - Barbacena,3) Interior de MG,73
ANTONIO CARLOS,2021,13º Departamento - Barbacena,3) Interior de MG,105
ANTONIO DIAS,2014,12º RISP - Ipatinga,3) Interior de MG,21
ANTONIO DIAS,2015,12º RISP - Ipatinga,3) Interior de MG,28
ANTONIO DIAS,2016,12º RISP - Ipatinga,3) Interior de MG,34
ANTONIO DIAS,2017,12º RISP - Ipatinga,3) Interior de MG,36
ANTONIO DIAS,2018,12º RISP - Ipatinga,3) Interior de MG,43
ANTONIO DIAS,2019,12º RISP - Ipatinga,3) Interior de MG,41
ANTONIO DIAS,2020,12º Departamento - Ipatinga,3) Interior de MG,34
ANTONIO DIAS,2021,12º Departamento - Ipatinga,3) Interior de MG,36
ANTONIO PRADO DE MINAS,2014,4º RISP - Juiz de Fora,3) Interior de MG,9
ANTONIO PRADO DE MINAS,2015,4º RISP - Juiz de Fora,3) Interior de MG,6
ANTONIO PRADO DE MINAS,2016,4º RISP - Juiz de Fora,3) Interior de MG,6
ANTONIO PRADO DE MINAS,2017,4º RISP - Juiz de Fora,3) Interior de MG,9
ANTONIO PRADO DE MINAS,2018,4º RISP - Juiz de Fora,3) Interior de MG,8
ANTONIO PRADO DE MINAS,2019,4º RISP - Juiz de Fora,3) Interior de MG,8
ANTONIO PRADO DE MINAS,2020,4º Departamento - Juiz de Fora,3) Interior de MG,8
ANTONIO PRADO DE MINAS,2021,4º Departamento - Juiz de Fora,3) Interior de MG,2
ARACAI,2014,19º RISP - Sete Lagoas,3) Interior de MG,13
ARACAI,2015,19º RISP - Sete Lagoas,3) Interior de MG,15
ARACAI,2016,19º RISP - Sete Lagoas,3) Interior de MG,6
ARACAI,2017,19º RISP - Sete Lagoas,3) Interior de MG,17
ARACAI,2018,19º RISP - Sete Lagoas,3) Interior de MG,15
ARACAI,2019,19º RISP - Sete Lagoas,3) Interior de MG,21
ARACAI,2020,19º Departamento - Sete Lagoas,3) Interior de MG,10
ARACAI,2021,19º Departamento - Sete Lagoas,3) Interior de MG,12
ARACITABA,2014,13º RISP - Barbacena,3) Interior de MG,3
ARACITABA,2015,13º RISP - Barbacena,3) Interior de MG,4
ARACITABA,2016,13º RISP - Barbacena,3) Interior de MG,6
ARACITABA,2017,13º RISP - Barbacena,3) Interior de MG,5
ARACITABA,2018,13º RISP - Barbacena,3) Interior de MG,8
ARACITABA,2019,13º RISP - Barbacena,3) Interior de MG,1
ARACITABA,2020,13º Departamento - Barbacena,3) Interior de MG,5
ARACITABA,2021,13º Departamento - Barbacena,3) Interior de MG,17
ARACUAI,2014,15º RISP - Teófilo Otoni,3) Interior de MG,467
ARACUAI,2015,15º RISP - Teófilo Otoni,3) Interior de MG,440
