ID,Bairro,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
95,LAGOA PARK,Bairro,2,1,0,1,62.0,PRETO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
96,LEVINDO DE PAULA PEREIRA,Bairro,2,25,0,3,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
97,LIBERDADE,Bairro,2,9,0,5,39.0,BRANCA,SUPERIOR COMPLETO
98,MANGABEIRAS,Bairro,2,44,2,3,40.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
99,MANOEL VALINHAS,Bairro,2,76,0,8,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
100,MAR E TERRA,Bairro,2,4,1,6,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
101,MARAJO,Bairro,2,21,1,7,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
102,MARIA HELENA,Bairro,2,23,0,4,36.0,PARDA,ALFABETIZADO
103,MARIA PECANHA,Bairro,2,27,0,3,42.0,PARDA,ALFABETIZADO
104,MARISA PARDINI,Bairro,2,2,0,1,40.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
105,MORADA NOVA,Bairro,2,67,4,5,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
106,MORUMBI,Bairro,2,13,0,5,35.0,PARDA,ALFABETIZADO
107,NACOES,Bairro,2,91,2,6,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
108,NILDA BARROS,Bairro,2,26,1,2,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
109,NITEROI,Bairro,2,162,5,5,44.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
110,NOSSA SENHORA DA CONCEICAO,Bairro,2,17,0,5,36.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
111,NOSSA SENHORA DAS GRACAS,Bairro,2,86,3,4,42.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
112,NOSSA SENHORA DE LOURDES,Bairro,2,1,0,6,48.0,BRANCA,ALFABETIZADO
113,NOVA FORTALEZA,Bairro,2,49,2,3,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
114,NOVA HOLANDA,Bairro,2,35,2,6,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
115,NOVA SUICA,Bairro,2,6,0,4,24.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
116,NOVA VISTA,Bairro,2,0,0,3,-1.0,DESCONHECIDO,DESCONHECIDO
117,NOVA VISTA ,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
118,NOVO PARAISO,Bairro,2,7,0,5,43.0,PARDA,ALFABETIZADO
119,OLIVEIRAS,Bairro,2,0,0,3,-1.0,DESCONHECIDO,DESCONHECIDO
120,ORION,Bairro,2,42,1,7,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
121,OSWALDO MACHADO GONTIJO,Bairro,2,9,0,3,54.0,PARDA,ALFABETIZADO
122,PADRE EUSTAQUIO,Bairro,2,51,0,5,38.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
123,PADRE HERCULANO,Bairro,2,7,0,2,39.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
124,PADRE LIBERIO,Bairro,2,39,0,1,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
125,PARAISO,Bairro,2,37,2,7,36.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
126,PLANALTO,Bairro,2,51,1,5,38.0,BRANCA,SUPERIOR COMPLETO
127,PONTE FUNDA,Bairro,2,59,2,4,39.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
128,PORTO VELHO,Bairro,2,159,0,6,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
129,PRIMAVERA,Bairro,2,7,0,3,30.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
130,PROGRESSO,Bairro,2,1,0,1,56.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
131,QUINTA DAS PALMEIRAS,Bairro,2,6,0,6,29.0,PARDA,ALFABETIZADO
132,QUINTINO,Bairro,2,30,1,3,38.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
133,RANCHO ALEGRE,Bairro,2,26,2,4,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
134,REALENGO,Bairro,2,44,1,5,35.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
135,RESIDENCIAL ALTO DAS OLIVEIRAS,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
136,SAGRADA FAMILIA,Bairro,2,26,0,5,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
137,SANTA CLARA,Bairro,2,68,0,5,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
138,SANTA CRUZ,Bairro,2,17,0,4,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
139,SANTA LUCIA,Bairro,2,66,1,7,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
140,SANTA LUZIA,Bairro,2,43,0,4,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
141,SANTA MARTHA,Bairro,2,7,0,4,34.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
142,SANTA ROSA,Bairro,2,107,0,4,38.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
143,SANTA TEREZA,Bairro,2,29,0,5,39.0,BRANCA,SUPERIOR COMPLETO
144,SANTO ANDRE,Bairro,2,9,1,4,47.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
145,SANTO ANTONIO,Bairro,2,45,0,3,39.0,BRANCA,SUPERIOR COMPLETO
146,SANTO ANTONIO DOS CAMPOS,Bairro,2,1,0,7,59.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
147,SANTOS DUMONT,Bairro,2,24,0,3,44.0,BRANCA,ALFABETIZADO
148,SAO BENTO,Bairro,2,2,0,2,35.0,PARDA,ALFABETIZADO
149,SAO CAETANO,Bairro,2,8,0,3,36.0,BRANCA,SUPERIOR COMPLETO
150,SAO CRISTOVAO,Bairro,2,1,0,1,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
151,SAO DOMINGOS,Bairro,2,9,0,4,45.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
152,SAO FREI GALVAO,Bairro,2,18,0,4,32.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
153,SAO GERALDO,Bairro,2,9,0,4,31.0,BRANCA,SUPERIOR INCOMPLETO
154,SAO JOAO DE DEUS,Bairro,2,86,2,3,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
155,SAO JOSE,Bairro,2,97,0,8,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
