Município,Ano,População,Número de Vítimas,Índice de Violência,RISP,RMBH,PIB per capita
AGUAS FORMOSAS,2016,19363.0,169.0,87.2798636574911,15º RISP - Teófilo Otoni,3) Interior de MG,11465.6
AGUAS FORMOSAS,2017,19416.0,166.0,85.49649773382778,15º RISP - Teófilo Otoni,3) Interior de MG,11699.34
AGUAS FORMOSAS,2018,19166.0,151.0,78.78534905561932,15º RISP - Teófilo Otoni,3) Interior de MG,12135.72
AGUAS FORMOSAS,2019,19207.0,94.0,48.9404904461915,15º RISP - Teófilo Otoni,3) Interior de MG,13474.35
AGUAS FORMOSAS,2020,19247.0,117.0,60.78869434197537,15º Departamento - Teófilo Otoni,3) Interior de MG,13192.0
AGUAS FORMOSAS,2021,19285.0,162.0,84.00311122634173,15º Departamento - Teófilo Otoni,3) Interior de MG,14913.12
AGUAS VERMELHAS,2014,13378.0,62.0,46.34474510390193,15º RISP - Teófilo Otoni,3) Interior de MG,11616.51
AGUAS VERMELHAS,2015,13447.0,84.0,62.46746486205102,15º RISP - Teófilo Otoni,3) Interior de MG,12541.09
AGUAS VERMELHAS,2016,13513.0,75.0,55.50210908014505,15º RISP - Teófilo Otoni,3) Interior de MG,13628.35
AGUAS VERMELHAS,2017,13576.0,89.0,65.55686505598115,15º RISP - Teófilo Otoni,3) Interior de MG,16276.95
AGUAS VERMELHAS,2018,13477.0,55.0,40.8102693477777,15º RISP - Teófilo Otoni,3) Interior de MG,16230.08
AGUAS VERMELHAS,2019,13539.0,77.0,56.872738016101636,15º RISP - Teófilo Otoni,3) Interior de MG,15815.15
AGUAS VERMELHAS,2020,13599.0,52.0,38.23810574306935,15º Departamento - Teófilo Otoni,3) Interior de MG,15780.53
AGUAS VERMELHAS,2021,13656.0,53.0,38.8107791446983,15º Departamento - Teófilo Otoni,3) Interior de MG,17329.28
AIMORES,2014,25685.0,152.0,59.178508857309716,8º RISP - Governador Valadares,3) Interior de MG,14885.13
AIMORES,2015,25694.0,141.0,54.87662489297112,8º RISP - Governador Valadares,3) Interior de MG,15472.55
AIMORES,2016,25703.0,145.0,56.41364821227094,8º RISP - Governador Valadares,3) Interior de MG,15615.35
AIMORES,2017,25711.0,111.0,43.17218311228657,8º RISP - Governador Valadares,3) Interior de MG,16878.22
AIMORES,2018,25193.0,127.0,50.410828404715595,8º RISP - Governador Valadares,3) Interior de MG,18132.43
AIMORES,2019,25167.0,138.0,54.83371081177733,8º RISP - Governador Valadares,3) Interior de MG,18356.32
AIMORES,2020,25141.0,117.0,46.537528340161494,8º Departamento - Governador Valadares,3) Interior de MG,22993.28
AIMORES,2021,25116.0,201.0,80.02866698518872,8º Departamento - Governador Valadares,3) Interior de MG,25402.54
AIURUOCA,2014,6257.0,16.0,25.57136007671408,17º RISP - Pouso Alegre,3) Interior de MG,11169.5
AIURUOCA,2015,6240.0,19.0,30.44871794871795,17º RISP - Pouso Alegre,3) Interior de MG,12225.21
AIURUOCA,2016,6224.0,12.0,19.28020565552699,17º RISP - Pouso Alegre,3) Interior de MG,15853.89
