ID,Bairro,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
96,LEVINDO DE PAULA PEREIRA,,,,Bairro,2,0.03346720214190094,0.0,3.0,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
97,LIBERDADE,,,,Bairro,2,0.012048192771084338,0.0,5.0,39.0,BRANCA,SUPERIOR COMPLETO
98,MANGABEIRAS,,,,Bairro,2,0.058902275769745646,2.0,3.0,40.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
99,MANOEL VALINHAS,,,,Bairro,2,0.10174029451137885,0.0,8.0,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
100,MAR E TERRA,,,,Bairro,2,0.00535475234270415,1.0,6.0,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
101,MARAJO,,,,Bairro,2,0.028112449799196786,1.0,7.0,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
102,MARIA HELENA,,,,Bairro,2,0.030789825970548863,0.0,4.0,36.0,PARDA,ALFABETIZADO
103,MARIA PECANHA,,,,Bairro,2,0.03614457831325301,0.0,3.0,42.0,PARDA,ALFABETIZADO
104,MARISA PARDINI,,,,Bairro,2,0.002677376171352075,0.0,1.0,40.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
105,MORADA NOVA,,,,Bairro,2,0.08969210174029452,4.0,5.0,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
106,MORUMBI,,,,Bairro,2,0.01740294511378849,0.0,5.0,35.0,PARDA,ALFABETIZADO
107,NACOES,,,,Bairro,2,0.12182061579651941,2.0,6.0,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
108,NILDA BARROS,,,,Bairro,2,0.03480589022757698,1.0,2.0,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
109,NITEROI,,,,Bairro,2,0.21686746987951808,5.0,5.0,44.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
110,NOSSA SENHORA DA CONCEICAO,,,,Bairro,2,0.022757697456492636,0.0,5.0,36.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
111,NOSSA SENHORA DAS GRACAS,,,,Bairro,2,0.11512717536813923,3.0,4.0,42.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
112,NOSSA SENHORA DE LOURDES,,,,Bairro,2,0.0013386880856760374,0.0,6.0,48.0,BRANCA,ALFABETIZADO
113,NOVA FORTALEZA,,,,Bairro,2,0.06559571619812583,2.0,3.0,35.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
114,NOVA HOLANDA,,,,Bairro,2,0.04685408299866131,2.0,6.0,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
115,NOVA SUICA,,,,Bairro,2,0.008032128514056224,0.0,4.0,24.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU 
116,NOVA VISTA,,,,Bairro,2,0.0,0.0,3.0,-1.0,DESCONHECIDO,DESCONHECIDO
117,NOVA VISTA ,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
118,NOVO PARAISO,,,,Bairro,2,0.009370816599732263,0.0,5.0,43.0,PARDA,ALFABETIZADO
119,OLIVEIRAS,,,,Bairro,2,0.0,0.0,3.0,-1.0,DESCONHECIDO,DESCONHECIDO
120,ORION,,,,Bairro,2,0.05622489959839357,1.0,7.0,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
