bairro;bairro_divisa
NOVA HOLANDA;NOSSA SENHORA DE LOURDES
NOVA HOLANDA;SANTOS DUMONT
NOVA HOLANDA;QUINTA DAS PALMEIRAS
NOVA HOLANDA;AEROPORTO
NOSSA SENHORA DE LOURDES;SANTOS DUMONT
NOSSA SENHORA DE LOURDES;AEROPORTO
NOSSA SENHORA DE LOURDES;JUSA FONSECA
SANTOS DUMONT;AEROPORTO
AEROPORTO;QUINTA DAS PALMEIRAS
AEROPORTO;ELIZABETH NOGUEIRA
AEROPORTO;JUSA FONSECA
AEROPORTO;PARAISO
QUINTA DAS PALMEIRAS;ELIZABETH NOGUEIRA
QUINTA DAS PALMEIRAS;TERRA AZUL
QUINTA DAS PALMEIRAS;COSTA AZUL
ELIZABETH NOGUEIRA;TERRA AZUL
TERRA AZUL;COSTA AZUL
JUSA FONSECA;PARAISO
JUSA FONSECA;DONA QUITA
DONA QUITA;SANTA ROSA
PARAISO;DONA QUITA
PARAISO;DONA ROSA
PARAISO;NOVO PARAISO
SANTA ROSA;DONA ROSA
SANTA ROSA;SAGRADA FAMILIA
SANTA ROSA;NACOES
DONA ROSA;NOVO PARAISO
DONA ROSA;PADRE EUSTAQUIO
DONA ROSA;DAVANUZE
DONA ROSA;SAGRADA FAMILIA
DONA ROSA;SANTA LUCIA
NOVO PARAISO;PADRE EUSTAQUIO
PADRE EUSTAQUIO;VILA DAS ROSEIRAS
PADRE EUSTAQUIO;SANTA LUCIA
PADRE EUSTAQUIO;DAVANUZE
SAO BENTO;PARAISO
SAO BENTO;VILA DAS ROSEIRAS
VILA ROSEIRAS;SANTA LUCIA
CHACARAS CAMPO GRANDE;ALTA VILLE
ALTA VILLE;SANTA LUCIA
SANTA LUCIA;DAVANUZE
SANTA LUCIA;VALE DO SOL
DAVANUZE;VALE DO SOL
DAVANUZE;SAGRADA FAMILIA
DAVANUZE;NACOES
VALE DO SOL;NACOES
VALE DO SOL;SAGRADA FAMILIA
SAGRADA FAMILIA;NACOES
NACOES;PONTE FUNDA
NACOES;MARIA HELENA
PONTE FUNDA;MARIA HELENA
PONTE FUNDA;MANGABEIRAS
MANGABEIRAS;MARIA HELENA
CHACARAS BELO HORIZONTE;CHACARA NOVO HORIZONTE
CHACARAS BEIRA RIO;NOVA SUICA
NOVA SUICA;SAO SIMAO
NOVA SUICA;MORUMBI
SAO SIMAO;MORUMBI
SAO SIMAO;IPANEMA
IPANEMA;SAVASSI
IPANEMA;GRAJAU
IPANEMA;JARDIM DOS CANDIDES
GRAJAU;JARDIM DOS CANDIDES
GRAJAU;SAO SIMAO
JARDIM DOS CANDIDES;JARDIM FLORAMAR
JARDIM DOS CANDIDES;DISTRITO INDUSTRIAL CEL JOVELINO RABELO
JARDIM FLORAMAR;DISTRITO INDUSTRIAL CEL JOVELINO RABELO
DISTRITO INDUSTRIAL CEL JOVELINO RABELO;ICARAI
ICARAI;LAGOA DOS MANDARINS
ICARAI;SAO CAETANO
SAO CAETANO;ESTANCIA GAFANHOTO
SAO CAETANO;FAZENDA DA UZINA
ESTANCIA GAFANHOTO;FAZENDA DA UZINA
LAGOA DOS MANDARINS;ELDORADO
ELDORADO;FAZENDA DA UZINA
ELDORADO;JARDIM CANDELARIA
VILA ROMANA;BOM PASTOR
VILA ROMANA;JARDIM DAS MANSOES
VILA ROMANA;DANILO PASSOS
DANILO PASSOS;MANOEL VALINHAS
DANILO PASSOS;DO CARMO
MANOEL VALINHAS;DO CARMO
MANOEL VALINHAS;UNIVERSITARIO
MANOEL VALINHAS;DOUTOR JOSE TOMAZ
MANOEL VALINHAS;DA LUZ
MANOEL VALINHAS;ESPIRITO SANTO
DO CARMO;UNIVERSITARIO
MANOEL VALINHAS;VILA RICA
MANOEL VALINHAS;HALIM SOUKI
UNIVERSITARIO;ESPIRITO SANTO
DA LUZ;DOUTOR JOSE TOMAZ
UNIVERSITARIO;HALIM SOUKI
VILA RICA ;SAO GERALDO
ESPIRITO SANTO;HALIM SOUKI
ESPIRITO SANTO;ITAI
HALIM SOUKI;SAO LUCAS
HALIM SOUKI;SAO GERALDO
HALIM SOUKI;SAO LUIZ
SAO GERALDO;SAO LUCAS
SAO GERALDO;PRIMAVERA
SAO LUCAS;PRIMAVERA
PRIMAVERA;DEL REY
ITAI;NITEROI
ITAI;SAO LUIZ
NITEROI;SAO LUIZ
NITEROI;SAO JOAO DE DEUS
CHACARAS DE SANTA MONICA;CHACARAS DE SANTA MONICA
SAO FREI GALVAO;GRAJAU
SAO FREI GALVAO;SAO SIMAO
SAO FREI GALVAO;NOVA SUICA
SAO FREI GALVAO;IPANEMA
HELENO RAMOS FREITAS;PARAISO
HELENO RAMOS FREITAS;NOVO PARAISO
EXPOSICAO;CHANADOUR
EXPOSICAO;SAO JUDAS TADEU
EXPOSICAO;MARAJO
MARIA PECANHA;TERRA AZUL
AEROPORTO;MARIA PECANHA
QUINTA DAS PALMEIRAS;MARIA PECANHA
FONTE BOA;JARDIM DAS OLIVEIRAS
FONTE BOA;JARDIM CANDELARIA
FONTE BOA;DOM CRISTIANO
ALTO SAO VICENTE;JARDIM CAPITAO SILVA
ALTO SAO VICENTE;SAO SEBASTIAO
ALTO SAO VICENTE;AFONSO PENA
ALTO SAO VICENTE;JARDIM NOVA AMERICA
LAGOA PARK;SANTA LUCIA
PROGRESSO;MARIA HELENA
MARISA PARDINI;NOVO PARAISO

